Date,High,Low,Open,Close,Volume,Adj Close
2019-01-03,10489.099134308886,10384.485754606667,10486.310838808855,10426.668395675995,211587200,10426.668395675995
2019-01-04,10712.08085798,10620.233064295524,10647.535052994926,10703.177988326886,231237200,10703.177988326886
2019-01-07,10857.03755066214,10758.303887424876,10824.051823533911,10848.80974539237,257832000,10848.80974539237
2019-01-08,11015.04201849591,10931.032375956123,10988.64339485397,10984.657380427818,260100900,10984.657380427818
2019-01-09,11180.719885885925,11054.653606528713,11073.073166175158,11175.88904564086,269093100,11175.88904564086
2019-01-10,11294.024317920086,11128.411167442611,11180.184541744638,11280.70288575551,262984000,11280.70288575551
2019-01-11,11297.077099480104,11220.787348597718,11235.138885892424,11284.236250321683,249299500,11284.236250321683
2019-01-14,11304.324955420287,11216.213955305457,11216.213955305457,11287.441172480134,228994500,11287.441172480134
2019-01-15,11358.606536886718,11273.265357373752,11300.005137561957,11333.37322318799,241300600,11333.37322318799
2019-01-16,11401.776333797507,11355.545826969243,11367.084488938597,11396.49714001463,248816800,11396.49714001463
2019-01-17,11492.905928357364,11363.48177321689,11371.476228992024,11472.617805607593,257298500,11472.617805607593
2019-01-18,11540.187556837875,11489.962997023673,11517.146028913743,11523.77228818879,293702200,11523.77228818879
2019-01-21,11566.252625814743,11497.551912974614,11525.725465538098,11566.252625814743,92562500,11566.252625814743
2019-01-22,11496.954235287852,11403.159425908847,11490.259695315572,11458.292789501045,228363300,11458.292789501045
2019-01-23,11450.508829618459,11336.852193960547,11437.331524189285,11386.867021575223,210174500,11386.867021575223
2019-01-24,11454.302536803953,11389.090523857496,11394.487526500436,11453.927755120352,206075300,11453.927755120352
2019-01-25,11526.160182534288,11459.046883213468,11497.84678224207,11509.756009776045,216014400,11509.756009776045
2019-01-28,11631.948495385137,11555.026011897124,11564.25316442,11631.948495385137,226010300,11631.948495385137
2019-01-29,11687.066057532373,11624.096140565247,11624.699297867784,11661.198783912972,233364800,11661.198783912972
2019-01-30,11694.998793571138,11617.915152597398,11674.27754295236,11667.64615408246,233825500,11667.64615408246
2019-01-31,11844.303545072467,11784.871532466637,11800.776250672428,11826.040095178741,286422200,11826.040095178741
2019-02-01,11861.281865818506,11796.06758780445,11856.177305142959,11813.513564087923,224777300,11813.513564087923
2019-02-04,11914.11501935069,11843.422900741682,11853.881863134015,11911.061351237568,245284400,11911.061351237568
2019-02-05,11971.71481965057,11914.61087540596,11917.660469340952,11971.71481965057,217732500,11971.71481965057
2019-02-06,11997.409775761365,11938.89043545272,11947.501210668268,11972.188359763177,218136700,11972.188359763177
2019-02-07,11902.29292806446,11798.00184989572,11880.420234524625,11884.810441986496,253785300,11884.810441986496
2019-02-08,11764.64410148243,11695.527811948996,11756.00456529075,11744.735605040734,211877800,11744.735605040734
2019-02-11,11797.875820809953,11711.541925945832,11797.875820809953,11728.86903196918,193012400,11728.86903196918
2019-02-12,11770.525789136342,11716.84202089676,11739.17225983788,11760.976770412506,248558800,11760.976770412506
2019-02-13,11860.438871423636,11810.546970637168,11852.501523571244,11812.81478430928,236823500,11812.81478430928
2019-02-14,11865.888287557364,11771.689272026828,11782.323183582454,11837.907798570093,305833800,11837.907798570093
2019-02-15,11932.46573761656,11854.854833440497,11859.818065304135,11911.107977062185,255717300,11911.107977062185
2019-02-19,12055.236619536632,11963.049829374162,11981.940565063192,12042.768733981871,336230800,12042.768733981871
2019-02-20,12140.981459560948,12069.817317526002,12069.817317526002,12136.66603925408,268328500,12136.66603925408
2019-02-21,12172.133494487634,12133.409121836688,12150.265761762277,12149.506460337749,298529700,12149.506460337749
2019-02-22,12151.616930902168,12095.966737423914,12126.967689086348,12107.761926111407,222858800,12107.761926111407
2019-02-25,12260.985935191942,12223.74551834889,12223.74551834889,12228.314858147662,219234400,12228.314858147662
2019-02-26,12222.643886238176,12173.498020305868,12173.498020305868,12186.31571838174,266318500,12186.31571838174
2019-02-27,12215.164405385485,12148.83724879962,12189.484566282701,12212.657336062775,226354300,12212.657336062775
2019-02-28,12222.898679901058,12152.985867101363,12213.617435662576,12171.167982805566,304602900,12171.167982805566
