Date,High,Low,Close,Open,Adj Close
2019-09-26,7387.09,7277.15,7351.08,7289.99,7351.08
2019-09-25,7292.0,7212.96,7289.99,7291.43,7289.99
2019-09-24,7348.97,7281.91,7291.43,7326.08,7291.43
2019-09-23,7362.3,7284.75,7326.08,7344.92,7326.08
2019-09-20,7376.31,7322.01,7344.92,7356.42,7344.92
2019-09-19,7373.08,7290.69,7356.42,7314.05,7356.42
2019-09-18,7350.52,7300.37,7314.05,7320.4,7314.05
2019-09-17,7350.24,7292.23,7320.4,7321.41,7320.4
2019-09-16,7378.32,7321.41,7321.41,7367.46,7321.41
2019-09-13,7380.29,7318.23,7367.46,7344.67,7367.46
2019-09-12,7369.34,7303.17,7344.67,7338.03,7344.67
2019-09-11,7346.71,7267.95,7338.03,7267.95,7338.03
2019-09-10,7270.5,7199.4,7267.95,7235.81,7267.95
2019-09-09,7325.21,7205.98,7235.81,7282.34,7235.81
2019-09-06,7284.11,7244.13,7282.34,7271.17,7282.34
2019-09-05,7330.71,7250.63,7271.17,7311.26,7271.17
2019-09-04,7334.55,7268.19,7311.26,7268.19,7311.26
2019-09-03,7301.47,7239.1,7268.19,7281.94,7268.19
2019-09-02,7315.26,7206.9,7281.94,7207.18,7281.94
2019-08-30,7240.37,7179.7,7207.18,7184.32,7207.18
2019-08-29,7199.2,7103.12,7184.32,7114.71,7184.32
2019-08-28,7131.21,7050.0,7114.71,7089.58,7114.71
2019-08-27,7110.76,7044.73,7089.58,7094.98,7089.58
2019-08-23,7188.59,7094.98,7094.98,7128.18,7094.98
2019-08-22,7203.97,7103.67,7128.18,7203.97,7128.18
2019-08-21,7215.53,7122.12,7203.97,7125.0,7203.97
2019-08-20,7231.65,7121.24,7125.0,7189.65,7125.0
2019-08-19,7214.23,7117.15,7189.65,7117.15,7189.65
2019-08-16,7125.9,7067.01,7117.15,7067.01,7117.15
2019-08-15,7148.75,7020.22,7067.01,7147.88,7067.01
2019-08-14,7268.73,7112.05,7147.88,7250.9,7147.88
2019-08-13,7281.14,7166.86,7250.9,7226.72,7250.9
2019-08-12,7305.56,7207.46,7226.72,7253.85,7226.72
2019-08-09,7297.28,7237.13,7253.85,7285.9,7253.85
2019-08-08,7285.9,7191.25,7285.9,7198.7,7285.9
2019-08-07,7237.88,7153.89,7198.7,7171.69,7198.7
2019-08-06,7241.57,7166.98,7171.69,7223.85,7171.69
2019-08-05,7407.06,7200.54,7223.85,7407.06,7223.85
2019-08-02,7585.24,7397.91,7407.06,7584.87,7407.06
2019-08-01,7609.98,7535.9,7584.87,7586.78,7584.87
2019-07-31,7648.2,7576.12,7586.78,7646.77,7586.78
2019-07-30,7727.49,7643.65,7646.77,7686.61,7646.77
2019-07-29,7711.34,7548.86,7686.61,7549.06,7686.61
2019-07-26,7553.55,7486.74,7549.06,7489.05,7549.06
2019-07-25,7542.64,7462.73,7489.05,7501.46,7489.05
2019-07-24,7558.01,7479.07,7501.46,7556.86,7501.46
2019-07-23,7598.6,7514.93,7556.86,7514.93,7556.86
2019-07-22,7549.71,7491.79,7514.93,7508.7,7514.93
2019-07-19,7546.65,7475.49,7508.7,7493.09,7508.7
2019-07-18,7535.46,7482.6,7493.09,7535.46,7493.09
2019-07-17,7577.2,7519.22,7535.46,7577.2,7535.46
2019-07-16,7590.07,7524.52,7577.2,7531.72,7577.2
2019-07-15,7548.33,7487.44,7531.72,7505.97,7531.72
2019-07-12,7537.1,7493.8,7505.97,7509.82,7505.97
2019-07-11,7558.34,7501.66,7509.82,7530.69,7509.82
